name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Phocaeicola salanitronis	376805	S	14	0	11	0	0	32	28	49	74	0	0	0	0	0	16	5	9	0	0	0	58	0	0	0	0	0	17	0	13	0	23	0	0	0	28	0	5	0	20	0	54	0	0	0	0	0	101	0	9	0	30	0	0	35	0	0	0	527	0	0	20	164	28	13	14	26	25	0	0	137	0	59	0	10	14	244	10	38	5	0	133	43	84	0	0	0
Prevotella intermedia	28131	S	61	20	323	70	0	0	16	1446	69	1857	11	0	0	174	78	69	28	94	0	17	87	0	138	17	69	20	881	116	57	11	82	216	68	35	39	1245	0	7	14	41	0	0	14	155	28	2439	1433	0	17	355	215	26	20	1767	401	0	142	238521	315	0	0	6798	5885	85	131	1276	614	52	92	21728	981	11212	14	7	403	21615	0	4570	31	350	11811	1106	4215	45	0	31
Prevotella melaninogenica	28132	S	33	99	138	77	92	13	114	1631	23	594	35	50	0	177	69	290	330	166	20	107	57	105	27	19	92	16	376	147	39	71	164	58	1854	58	161	1394	23	29	70	0	12	12	58	315	44	536	2519	67	72	125	307	19	45	250	456	151	65	54123	42	48	0	1220	394	78	210	456	833	54	141	2945	176	2781	35	40	259	8013	13	576	0	248	8584	121	997	37	33	65
Prevotella bivia	28125	S	27	31	172	163	7367	11	19	1566	35	74941	50	6	17	99	3341	179	126	2508	152	4429	42	181	1647	104	3817	0	5569	244	6043	0	6959	839	152	232	61	603	1577	24	29	72	39	22	42	1550	70	16388	1956	24	378	3243	109975	99	9	16111	244	1315	145	171496	18956	2018	104	443330	990948	196	1066	45489	255844	1696	1656	120190	151663	85178	6963	90	288532	276625	223	1079722	1126	12167	116025	91646	4889	273	49	2356
Prevotella dentalis	52227	S	13	0	327	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	30	0	6	0	0	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	11450	24	0	0	22	0	0	0	23	0	0	7759	0	0	0	131	1258	14	8	558	20	33	0	112	19	325	0	0	143	406	0	40	0	13	1300	14	177	0	0	23
Prevotella oris	28135	S	12	0	84	0	26	0	8	361	0	33	0	0	0	40	32	0	0	0	338	24	15	18	0	0	0	0	52	24	11	0	27	6	129	8	59	12	23	0	6	22	0	0	0	0	0	49	2659	0	0	18	70	15	7	19	71	0	0	4081	42	0	0	143	258	12	26	296	22	8	11	274	0	158	0	0	42	456	6	54	7	23	1692	25	279	22	0	10
Prevotella communis	2913614	S	5	0	18	0	0	0	0	234	0	66	0	0	0	0	16	0	11	0	0	0	0	0	17	0	5	0	125	48	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	368	0	0	0	94	0	0	5	96	0	0	16195	0	0	0	936	292	0	0	96	180	0	0	1031	0	795	0	0	87	2545	0	15	0	194	3813	0	1181	0	0	0
Hoylesella buccalis	28127	S	38	0	945	0	258	58	0	11919	24	2962	0	12	0	36	150	25	579	164	37	18	77	0	429	13	184	12	2568	826	129	15	494	434	0	36	0	1063	0	0	0	15	0	0	20	471	16	823	45242	35	10	29	4517	17	23	807	3104	8	139	631328	603	23	39	35725	21031	89	18	7951	11186	42	449	20342	958	21571	62	32	10841	83965	26	2994	226	3528	99041	382	28120	383	6	14
Segatella copri	165179	S	11	192	15	219	34	0	63	165	124	12	153	0	39	28	0	82	24	0	0	56	7	51	0	6	0	26	211	7	5	0	20	49	46	0	9	17	0	25	10	0	0	0	0	5	0	25	1228	20	29	63	12	18	25	19	29	0	0	859	0	0	6	60	37	89	97	79	10	0	0	38	107	22	0	24	7	93	0	31	0	0	38	158	61	0	0	7
Epilithonimonas vandammei	2487072	S	297	630	198	358	801	190	1830	1690	1596	332	141	159	78	2535	256	2200	575	230	397	4520	230	371	238	113	126	301	792	159	357	452	347	120	694	219	464	1289	130	208	217	206	115	66	126	65	79	159	103	274	462	1053	1047	173	146	132	548	266	0	174	515	149	249	416	768	1174	2185	32	256	427	103	704	535	25	181	66	63	228	145	348	113	78	1036	1241	337	311	177	131
Chryseobacterium manosquense	2754694	S	37	140	17	75	134	0	90	52	76	29	19	61	0	119	39	111	48	73	21	3888	0	0	0	0	11	57	23	0	0	0	35	170	20	0	14	187	0	0	15	9	0	0	0	0	0	0	0	0	0	65	0	0	24	0	45	18	0	0	33	0	0	51	0	0	12	0	0	0	0	19	102	0	0	0	0	0	0	0	0	0	0	146	0	22	0	0
Cloacibacterium caeni	2004710	S	39	547	40	127	297	143	541	4086	408	24	115	286	322	64	0	0	1094	338	506	210	0	290	0	333	281	174	34	163	0	171	147	0	0	0	225	979	10	115	436	40	33	0	43	20	0	0	53	0	470	484	418	139	44	13	125	86	0	0	0	0	996	0	35	81	60	0	152	0	14	98	719	0	0	0	123	0	0	202	0	0	438	2503	122	123	148	32
Cloacibacterium normanense	237258	S	17	249	11	152	377	46	133	1704	0	0	42	0	0	0	0	0	0	84	72	0	0	129	0	0	84	0	0	0	0	0	31	0	0	0	0	58	13	0	43	18	0	0	14	0	0	0	0	0	100	0	27	60	58	0	20	20	0	0	0	0	112	45	0	0	16	0	0	0	0	0	0	10	0	0	0	0	0	104	0	0	0	0	0	0	180	42
Flavobacterium sp. K5-23	2746225	S	7	0	37	0	0	15	0	16	47	33	55	10	50	107	0	0	40	11	0	0	48	16	0	24	32	7	71	17	18	0	24	82	0	15	7	0	22	16	0	13	51	19	0	5	0	0	58	0	0	0	49	10	11	49	0	11	0	57	0	0	39	82	50	71	120	26	0	0	0	21	7	8	0	0	14	36	15	40	0	0	26	87	41	0	68	0
Formosa agariphila	320324	S	59	0	125	0	0	32	10	39	71	122	63	26	36	245	13	312	56	44	0	0	175	476	43	17	40	7	223	66	258	19	54	71	0	80	12	0	14	29	39	173	46	10	0	16	0	0	74	45	0	60	121	14	11	99	21	0	22	610	13	0	50	537	658	734	140	271	138	34	6	585	0	23	18	0	575	153	85	437	26	39	41	82	120	21	63	14
Candidatus Karelsulcia muelleri	336810	S	32	0	110	0	0	69	5	155	195	72	65	36	47	14	29	53	24	44	0	17	511	119	0	64	76	19	91	37	20	0	69	15	0	54	10	311	7	26	26	58	132	18	5	0	14	12	40	0	14	23	78	0	34	125	0	32	68	2240	10	12	100	1136	226	199	77	56	39	36	5	106	64	16	21	7	70	79	84	97	32	15	70	74	143	30	232	6
Sphingobacterium multivorum	28454	S	14	15	0	0	0	0	0	32	0	59	0	0	0	50	0	0	40	0	72	0	118	0	0	0	0	0	0	0	0	0	0	39	362	0	48	276	0	0	0	0	0	0	0	0	0	0	80	0	0	29	53	0	0	0	34	0	0	0	31	0	0	0	0	0	0	0	0	0	13	0	236	0	0	7	0	45	0	386	0	0	0	230	48	0	0	0
Pedobacter sp. D749	2856523	S	20	192	57	97	26	0	46	54	54	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	1348	13	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	82	53	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatirosa kalamazoonensis	861299	S	7	74	7	18	0	0	0	35	74	0	0	12	0	17	6	51	0	0	0	0	0	888	8	0	0	0	69	0	0	13	32	47	159	0	9	114	13	0	0	14	0	0	0	0	0	0	0	0	0	0	14	0	10	7	0	0	0	0	0	0	20	7	0	48	70	0	0	0	9	0	0	0	20	0	0	0	0	23	0	0	180	93	12	13	0	0
Fusobacterium animalis	76859	S	61	0	0	0	0	0	0	200	12	485	0	0	0	76	14	0	908	0	0	0	5	0	0	0	0	138	481	0	0	0	212	0	0	0	46	100	0	12	0	0	6	0	0	0	0	1284	2862	0	40	71	0	0	0	58	58	0	0	0	1182	0	0	95	6288	19	271	1600	6444	2189	0	7	8342	9751	333	0	0	17994	0	1031	1843	12185	64568	68	100	14	0	0
Fusobacterium hwasookii	1583098	S	26	0	10	25	0	26	0	57	34	14	0	0	0	16	0	13	0	0	0	0	12	0	0	0	0	0	155	0	54	0	16	0	0	14	6	0	0	17	0	0	21	5	0	0	0	132	1687	0	0	0	20	0	0	15	0	0	0	9	92	0	6	205	602	29	0	125	384	87	0	18	645	700	0	0	0	662	9	81	55	754	1455	10	90	14	31	0
Urbifossiella limnaea	2528023	S	49	0	0	0	0	0	0	0	0	0	0	0	0	66	0	9	0	0	11	0	0	1155	5	0	0	0	0	13	0	0	0	120	48	150	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	72	18	0	29	33	0	0	0	0	0	16	0	0	64	50	0	0	0	112	0	25	0	0	0	0	0	0	0	131	0	0	1378	376	0	0	0	0
Verrucomicrobium spinosum	2736	S	12	23	17	18	0	0	0	312	61	0	0	0	0	0	10	0	0	0	0	0	0	54	0	0	0	0	27	0	0	10	14	12	0	0	0	27	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	31	429	0	7	24	0	0	0	0	0	0	0	0	0	15	83	0	146	98	0	0	24	0
Campylobacter ureolyticus	827	S	24	21	22	0	0	29	10	1381	0	7	0	0	0	31	39	19	273	0	24	16	135	15	46	0	0	0	944	143	0	0	698	0	0	35	5	1740	8	76	0	74	0	5	0	341	0	150	45953	221	224	2527	980	0	15	154	1791	0	113	31043	5592	0	51	39496	20745	22	52	2424	2675	42	60	2077	4128	8446	69	260	23041	11880	29	95339	16810	1779	75998	54611	13066	297	121	4236
Bacteriovorax stolpii	960	S	20	18	15	17	0	0	0	22	161	0	0	0	0	89	0	60	0	14	0	0	57	344	0	0	0	0	29	0	11	8	0	517	0	0	0	0	7	225	16	0	0	0	0	0	0	0	7	0	0	0	55	9	0	0	0	0	0	0	0	0	8	0	0	0	138	0	0	0	0	18	0	0	0	0	0	0	0	41	0	0	0	293	0	205	0	0
Homo sapiens	9606	S	108517	75866	181742	103884	105855	41994	93002	126314	73159	611185	460528	586068	10630	148919	71193	552242	43712	147418	84049	66200	161125	201145	572920	383975	482001	57756	206165	222817	604254	318842	85238	193783	297696	129972	95036	210721	78730	92230	165984	344468	39224	31755	77454	134639	102675	67977	125344	281833	92047	368821	112056	3149489	3321184	163313	1185645	204703	168927	62819	73136	21673	1376043	227031	354780	966514	84446	394091	459532	245006	135750	460513	157716	50391	182554	135783	987796	311103	190511	277705	46339	252963	284518	283676	97760	118271	133339	104568
Fusarium graminearum	5518	S	1685	0	0	0	0	0	0	0	52	0	0	0	0	0	0	31	0	0	0	0	0	90	0	0	0	0	0	0	0	0	80	23	0	0	50	0	305	0	0	0	0	0	0	67	0	0	34	0	50	110	0	94	54	0	0	0	0	0	69	0	0	0	0	0	51	0	0	16	0	39	0	0	0	0	7	0	0	41	0	0	0	400	39	0	0	0
Fusarium poae	36050	S	518	0	0	0	0	0	0	9	376	0	11	0	0	0	0	122	0	27	0	0	174	586	0	0	119	0	0	44	16	0	12	76	0	0	22	0	0	0	0	0	47	0	8	0	0	0	23	0	0	24	75	59	18	0	40	0	0	0	309	0	17	31	0	33	27	0	0	0	0	0	0	0	0	0	52	0	0	164	0	19	265	159	87	0	30	0
Fusarium pseudograminearum	101028	S	107	0	0	0	0	26	0	38	254	0	0	154	0	0	50	53	127	0	52	0	40	17	0	0	0	0	14	13	0	0	43	7	0	0	101	0	0	8	12	0	19	0	169	6	0	0	55	0	0	0	198	47	0	11	0	18	0	0	126	10	0	17	0	46	18	0	62	0	53	0	33	0	0	0	0	0	0	523	0	0	0	73	1306	25	1578	0
Fusarium keratoplasticum	1328300	S	377	0	0	0	0	0	0	0	1934	0	9	0	0	0	0	57	0	0	94	0	0	94	0	0	0	0	19	61	0	0	57	93	0	0	110	0	0	0	0	0	121	0	0	0	14	0	184	9	0	0	0	92	29	0	38	0	0	0	771	0	35	63	31	66	24	0	0	18	28	117	163	0	0	0	0	0	19	216	0	0	110	72	170	0	12	0
Fusarium falciforme	195108	S	104	0	0	0	0	52	10	60	0	0	0	0	0	0	0	0	88	18	0	0	0	0	0	0	33	0	0	0	0	0	29	0	0	0	66	101	0	0	0	0	11	0	0	0	0	0	234	27	0	0	133	0	0	0	21	0	0	0	75	0	0	0	0	48	0	0	0	10	0	0	0	0	0	0	0	0	0	83	0	0	0	187	197	0	81	0
Fusarium oxysporum	5507	S	642	17	6	18	5	0	8	40	5256	0	5	0	0	0	61	139	0	0	14	0	0	604	0	17	0	7	31	0	0	0	14	49	459	15	41	0	0	0	284	12	28	0	7	0	0	0	355	22	0	26	0	23	0	0	0	0	0	0	359	0	38	22	0	0	41	0	19	0	40	185	198	0	0	0	0	0	0	62	0	0	444	170	70	0	0	0
Fusarium musae	1042133	S	1270	51	0	0	0	184	0	254	3519	38	2754	11	0	190	0	528	57	167	867	377	0	391	77	39	104	55	74	432	17	0	868	2273	0	25	2064	307	736	283	43	0	76	23	1873	22	62	0	477	484	48	2785	274	80	96	33	55	31	0	28	231	20	43	459	90	322	227	0	21	1064	70	407	0	0	60	0	13	24	20	3635	0	46	1652	804	18142	85	1037	70
Akanthomyces muscarius	2231603	S	91	16	0	0	0	55	18	181	14317	24	6	463	113	19	90	203	24	25	38	0	120	139	0	246	0	9	44	64	10	0	151	162	0	0	410	22	19	67	20	24	113	0	104	317	23	0	224	30	13	125	156	51	49	0	177	0	0	11	23	17	0	82	20	145	74	0	163	43	93	32	540	12	12	0	20	0	0	385	0	0	449	258	456	67	11	52
Ustilaginoidea virens	1159556	S	62	0	0	0	0	0	0	16	499	0	5	0	0	0	39	138	0	0	90	0	150	22	0	172	0	0	40	15	0	14	62	139	0	0	271	435	0	7	17	0	59	0	98	0	0	24	415	36	0	0	138	15	15	0	0	0	0	0	138	0	0	48	0	78	11	0	8	22	12	80	32	0	0	0	14	0	0	161	0	0	91	191	295	0	1930	15
Neurospora crassa	5141	S	104	0	0	0	73	0	0	49	32318	20	172	11	77	106	42	355	0	0	112	10	157	1398	12	1716	0	0	183	81	46	59	296	610	180	21	584	321	53	0	43	28	118	0	216	61	57	0	761	64	39	121	165	70	83	7	48	60	0	0	396	18	52	635	28	289	222	0	13	150	97	669	42	0	0	0	20	19	0	1816	9	0	539	870	2807	61	1117	23
Thermothielavioides terrestris	2587410	S	31	0	0	0	0	0	0	0	58	0	0	0	0	0	0	51	0	0	16	0	60	46	0	37	44	0	45	0	18	0	43	23	0	0	0	0	5	27	0	0	0	0	0	23	0	0	148	0	0	0	25	7	9	0	13	0	0	0	64	0	0	77	0	60	19	0	0	15	0	0	53	0	0	0	705	0	0	91	0	50	0	139	88	0	21	40
Botrytis cinerea	40559	S	6	0	17	38	0	15	22	71	614	5	27	126	72	299	16	872	249	81	158	212	115	3662	35	0	147	12	219	333	59	485	506	1849	1999	36	415	523	80	28	217	60	974	0	508	344	80	23	975	107	81	45	299	125	212	40	189	21	0	0	1309	84	13	624	358	647	708	17	166	123	509	313	116	10	19	0	53	11	6	1818	15	90	777	1136	3427	138	1613	86
Zymoseptoria tritici	1047171	S	40	0	21	0	0	26	169	344	1327	0	2258	15	457	516	52	1297	97	99	1919	297	73	8639	89	18	130	32	349	3150	162	79	1204	5778	933	69	2234	240	784	124	715	102	418	27	4255	171	57	55	17422	564	23	1083	413	179	221	70	202	182	0	0	514	38	36	3975	183	1152	688	12	167	2924	272	432	281	0	178	27	117	35	20	5762	0	518	1758	1478	48366	416	1160	150
Fulvia fulva	5499	S	24	0	8	0	13	11	22	233	812	0	629	0	39	101	34	497	10	9	1225	229	32	6606	13	0	0	0	145	1321	78	84	1012	2759	258	23	1258	621	255	78	202	56	50	0	1586	126	28	48	25582	590	70	717	208	61	87	41	164	0	0	0	438	0	17	1463	44	569	417	0	55	1307	96	379	323	19	89	0	76	49	17	5111	0	1909	2329	825	17699	45	279	61
Cercospora beticola	122368	S	15	8	0	0	105	0	44	347	892	0	893	0	48	203	49	459	47	46	1034	246	16	1569	10	0	30	21	124	490	86	34	447	2468	143	26	1134	0	299	34	24	82	49	0	1437	46	36	0	2735	327	62	511	178	28	98	41	55	73	0	12	770	30	38	1225	12	552	288	0	60	1049	94	180	1038	70	50	0	11	0	0	780	0	653	1332	423	9794	91	444	79
Ascochyta rabiei	5454	S	79	39	77	55	48	136	107	890	14584	106	511	4921	1195	1444	995	5629	2465	522	1958	621	228	25349	277	148	414	330	1179	5061	391	225	2341	28835	1765	2940	4399	529	841	1209	9320	510	73156	27	4828	7473	484	330	10340	1190	396	1878	4063	1825	463	119	2064	104	78	16	1851104	215	342	4121	504	2805	2900	45	2407	1139	1886	1305	1031	9	623	30	92	74	40	20159	82	129	9075	5502	46730	1356	82032	925
Aspergillus chevalieri	182096	S	16	0	26	0	41	0	0	171	3839	0	85	0	0	186	94	407	102	98	0	506	0	407	0	0	124	15	174	178	0	136	1351	12787	237	61	810	374	24	89	1910	52	56	18	246	1213	73	0	652	371	26	272	1217	94	81	21	1883	24	0	10	156	30	100	429	38	334	444	0	33	0	58	393	100	0	0	0	0	0	20	472	0	36	272	110	3561	0	93	155
Penicillium oxalicum	69781	S	18	0	29	0	34	25	123	231	803	0	0	0	487	37	111	373	172	127	105	7296	73	310	0	0	91	0	94	604	41	194	4704	94	271	84	169	0	95	0	85	0	0	0	0	0	0	0	1179	0	22	126	97	50	130	0	19	0	0	0	156	0	70	1186	86	369	201	0	72	147	128	96	412	0	48	0	0	0	36	340	0	79	276	1213	710	0	27	19
Pichia kudriavzevii	4909	S	563	0	0	0	85	4378	75	111	14184	22	2009	87	0	40	437	114	0	98	130	213	24	277	227	35	0	108	61	1893	70	194	39	262	0	23	149	841	135	47	10	0	310	0	82	16	0	111	1591	133	79133	0	174	229	87	9	44	23	0	20	163	0	137	404	134	556	8385	0	41	227	0	81	24	0	16	17	0	6	69	169	21	38	408	291	534	77	34	60
Brettanomyces nanus	13502	S	9	0	0	0	0	33	0	0	267	0	41	295	0	14	0	3828	56	12	0	59	0	75	0	0	16	17	13	30	0	8	165	48	323	9	54	72	0	36	0	0	27	0	6	0	79	0	946	0	33	76	61	39	10	0	0	21	0	0	585	0	0	171	32	23	133	0	57	0	84	59	0	11	0	0	0	0	0	251	24	0	0	173	376	25	27	16
Sugiyamaella lignohabitans	796027	S	35	0	0	0	22	71	33	0	455	0	72	0	0	57	0	58	21	0	0	41	6	1831	0	0	0	10	42	38	25	0	132	48	135	6	52	0	0	13	98	15	53	0	9	18	23	0	140	0	6	0	0	45	46	21	42	0	0	0	82	0	6	0	0	36	177	0	8	0	88	18	18	0	8	0	14	7	0	287	0	8	536	1402	102	0	13	8
Tetrapisispora blattae	1071379	S	27	0	0	0	0	71	0	28	460	0	17	37	0	24	0	26	0	0	0	0	0	885	0	0	0	0	19	58	0	29	63	18	0	0	0	0	0	0	0	0	36	0	8	0	0	0	49	0	8	0	27	0	0	0	31	19	0	0	93	0	38	16	66	17	316	0	0	0	0	52	0	0	0	0	0	0	0	345	0	0	0	0	7	0	0	0
[Candida] auris	498019	S	6	40	0	0	0	17	68	27	4481	24	15	625	18	226	216	158	17	0	12	1666	69	255	68	51	11	10	29	64	71	326	118	202	338	34	75	688	225	430	174	36	294	17	20	14	9	71	104	118	17	92	124	150	170	197	15	24	0	244	170	22	156	404	87	740	246	88	0	49	13	651	143	0	9	28	79	62	33	242	0	24	432	397	352	65	929	14
Malassezia restricta	76775	S	932	4910	1292	1887	2668	1389	3341	7367	7068	1231	1202	385	393	12539	27477	29386	9831	1639	26125	2459	2507	12202	1040	625	580	1163	10557	16669	2580	9507	16850	3945	14313	7186	23933	21097	14634	5092	2161	8386	1801	798	5012	7554	3489	11207	24339	25234	12150	17666	45583	1500	2135	360	5257	2468	338	536	6912	334	1255	13163	10476	17515	79203	513	3371	3671	1585	17181	51567	249	757	481	865	684	380	18302	758	6727	71420	24763	21103	5710	5944	3928
Malassezia vespertilionis	2020962	S	22	0	49	0	0	7	28	45	293	105	68	20	13	658	4845	1333	89	47	100	141	35	840	92	0	24	14	400	2080	92	103	670	225	294	527	586	488	153	154	49	52	61	177	113	152	125	235	765	581	80	306	547	120	112	6	92	71	0	34	32	18	813	142	2260	964	10202	14	108	124	124	1955	6381	7	9	23	43	21	9	1093	49	191	1073	4660	1014	117	68	218
Sporisorium graminicola	280036	S	30	0	9	8	0	0	19	0	6926	6	39	14	101	40	89	6187	0	67	129	0	0	344	20	0	51	994	47	61	40	25	299	373	176	35	230	210	29	38	95	0	156	0	175	115	14	0	776	81	58	183	85	213	63	8	71	0	0	109	217	31	135	305	90	169	297	0	23	174	18	148	101	0	9	0	32	13	0	500	16	0	276	8164	935	80	86	28
Psilocybe cubensis	181762	S	85	28	9	0	0	0	0	498	858	0	7	10	15	376	15	10021	20	15	134	13	13	179	73	15	0	27	314	130	23	106	2732	1563	128	18	502	463	91	205	129	29	86	25	40	752	1564	88	296	285	0	265	80	92	74	0	40	40	0	0	68	0	9	341	58	1270	708	35	56	55	76	18492	959	0	175	0	10	13	51	2534	29	102	745	264	1871	219	74	101
Marasmius oreades	181124	S	78	0	10	0	85	0	85	290	3939	45	35	11	161	359	53	3494	20	91	92	59	80	1267	50	29	115	22	366	132	133	69	2875	1342	985	90	1082	1690	45	227	282	41	110	19	54	488	2152	191	1499	109	37	478	230	239	63	15	74	76	0	19	213	0	56	297	120	1555	1269	19	127	56	116	8326	583	0	16	14	377	0	0	1812	71	0	0	7276	2628	199	81	93
Rhizoctonia solani	456999	S	57	0	27	0	0	58	89	42	3389	43	17	0	27	458	307	1581	36	47	29	45	0	421	53	0	11	86	256	186	35	28	3332	958	257	187	1161	463	65	210	105	66	198	12	36	427	2632	44	499	107	55	245	183	278	58	0	103	22	0	0	97	29	56	372	202	1967	1571	20	46	33	67	6334	615	0	9	0	108	32	54	1508	43	64	686	8933	1815	58	50	110
Cryptococcus neoformans	5207	S	26	18	0	0	0	0	67	0	416	0	0	0	0	0	0	128	6	0	0	0	0	15	0	0	0	0	0	76	0	0	165	107	0	0	9	340	0	9	0	0	16	0	0	0	0	191	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	57	40	19	0	0	0	0	0	0	0	0	0	6	0	53	0	0	52	0	1072	17	0	0
Babesia bigemina	5866	S	12	39	30	19	0	20	0	5	91	34	569	292	6	45	11	1549	0	0	70	0	0	166	10	25	0	0	0	14	6	38	185	0	0	7	152	211	16	25	33	28	0	0	0	16	26	0	44	23	19	185	33	0	9	0	72	40	0	119	32	0	0	0	0	40	70	0	0	54	6	14	16	0	0	10	0	0	0	89	5	0	13	97	26	18	167	24
Babesia microti	5868	S	9	0	6	0	0	0	0	0	750	0	0	0	0	18	0	75	0	0	0	0	8	149	0	0	0	0	11	0	0	13	33	12	0	0	0	0	0	0	17	0	11	0	10	0	0	0	12	0	0	0	0	80	21	0	0	0	0	0	11	0	12	0	0	7	139	0	0	16	0	24	0	7	0	0	56	0	0	165	0	0	0	663	0	14	6	8
Phaeodactylum tricornutum	2850	S	20	0	0	0	0	43	0	80	4556	323	16	11	62	89	35	114	68	0	0	18	14	5537	12	0	0	23	48	18	28	21	545	138	283	32	109	17	76	44	161	43	35	0	0	19	5	26	53	25	0	42	65	315	93	0	0	0	0	80	8	67	74	110	45	300	315	20	28	65	9	328	44	0	14	0	233	0	0	136	0	0	526	1472	185	52	225	17
Thalassiosira pseudonana	35128	S	6	0	16	0	0	7	0	7	1965	0	9	11	34	97	0	60	0	0	56	60	9	1384	11	0	0	0	140	16	0	0	514	28	16	11	51	164	0	13	52	20	12	0	58	0	12	0	10	0	44	24	60	28	29	0	49	11	0	0	72	549	18	36	16	254	261	5	69	64	106	140	102	12	0	0	38	0	0	207	0	0	91	390	124	15	0	23
Cryptomonas paramecium	2898	S	25	0	0	0	0	0	23	0	437	25	10	7	11	42	0	22206	0	18	0	0	12	1860	0	6	10	0	28	0	105	9	21	52	145	43	167	0	69	15	23	0	19	0	6	68	0	0	65	0	0	46	39	21	24	0	0	12	0	48	9	12	40	20	0	114	91	0	0	0	6	51	29	0	8	0	0	7	0	249	5	0	121	172	43	7	10	0
Leishmania mexicana	5665	S	13	158	0	54	0	0	0	29	0	10	15	9	0	39	7	3257	10	48	77	0	0	21	8	0	14	6	13	24	0	34	35	21	302	7	116	1213	0	18	42	74	24	0	9	9	19	8	17	56	0	89	81	0	0	5	29	48	0	0	46	13	0	0	7	34	18	0	0	10	74	0	34	14	0	13	0	19	0	68	0	48	308	601	44	14	0	18
Murine leukemia virus	11786	S	387	6610	453	4297	1445	91	824	260	178	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	1569	0	49	38	100	7	89	15	1799	4421	227	0	0	0	1722	70	1510	34	38	0	55	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2974	0	8	0	0	2519	10	0	233
Enterobacter hormaechei	158836	S	0	133	196	0	282	171	305	0	61	220	0	0	0	205	191	73	159	35	0	123	0	283	0	0	0	0	23	278	0	0	147	186	0	0	146	0	0	0	0	473	0	0	0	0	0	0	113	0	93	834	261	190	817	0	326	103	0	0	0	0	0	28	80	81	114	28	0	0	61	89	0	0	0	0	110	0	0	241	0	0	738	241	314	120	0	138
Shigella dysenteriae	622	S	0	347	37	238	183	0	124	0	37	29	0	0	0	31	0	0	0	38	0	24	0	0	0	0	0	0	0	0	0	0	54	0	38	0	296	806	0	0	0	0	0	0	155	0	0	0	0	0	0	0	317	438	208	0	105	0	0	45	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	64	0	0	0
Klebsiella michiganensis	1134687	S	0	86	0	25	47	0	0	0	11	11	0	0	0	131	19	101	0	0	0	26	0	0	59	0	0	0	28	0	0	67	118	78	4157	12	67	9801	0	0	21	53	0	0	0	11	0	0	0	0	0	82	137	0	0	0	15	0	0	0	0	0	0	0	0	10	231	0	0	29	167	25	0	28	33	17	0	8	11	64	27	46	0	468	46	0	14	14
Acinetobacter sp. LUNF3	2925837	S	0	960	32	36	0	0	106	0	360	0	0	0	0	92	0	169	0	0	0	0	0	2069	130	0	0	0	0	27	0	0	286	0	914	0	186	0	0	0	22	145	0	0	51	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	79	349	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	757	129	261	135	0	93
Acinetobacter sp. SWBY1	2079596	S	0	142	0	0	0	0	0	19	1097	0	0	0	0	80	0	0	0	0	0	0	87	209	0	0	0	51	0	0	0	64	127	0	113	12	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	118	0	0	14	17	0	0	71	0	0	0	0	10	2242	20	0	0	0	0	9	0	212	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
